column_name,classification,reason
batting_xwoba_contact_last_3,SAFE_FEATURE,PIT-safe pregame
batting_total_bip_last_5,SAFE_FEATURE,PIT-safe pregame
batting_avg_exit_velo_last_5,SAFE_FEATURE,PIT-safe pregame
batting_hard_hit_rate_last_5,SAFE_FEATURE,PIT-safe pregame
batting_barrel_rate_last_5,SAFE_FEATURE,PIT-safe pregame
batting_xwoba_contact_last_5,SAFE_FEATURE,PIT-safe pregame
batting_total_bip_last_10,SAFE_FEATURE,PIT-safe pregame
batting_avg_exit_velo_last_10,SAFE_FEATURE,PIT-safe pregame
batting_hard_hit_rate_last_10,SAFE_FEATURE,PIT-safe pregame
batting_barrel_rate_last_10,SAFE_FEATURE,PIT-safe pregame
batting_xwoba_contact_last_10,SAFE_FEATURE,PIT-safe pregame
opp_pl_arm_angle_mean_last_3,SAFE_FEATURE,PIT-safe pregame
opp_pl_arm_angle_mean_last_5,SAFE_FEATURE,PIT-safe pregame
opp_pl_ch_pct_last_3,SAFE_FEATURE,PIT-safe pregame
opp_pl_ch_pct_last_5,SAFE_FEATURE,PIT-safe pregame
opp_pl_chase_rate_last_3,SAFE_FEATURE,PIT-safe pregame
opp_pl_chase_rate_last_5,SAFE_FEATURE,PIT-safe pregame
opp_pl_edge_rate_last_3,SAFE_FEATURE,PIT-safe pregame
opp_pl_edge_rate_last_5,SAFE_FEATURE,PIT-safe pregame
opp_pl_ff_pct_last_3,SAFE_FEATURE,PIT-safe pregame
opp_pl_ff_pct_last_5,SAFE_FEATURE,PIT-safe pregame
opp_pl_heart_drift_last_3,SAFE_FEATURE,PIT-safe pregame
opp_pl_heart_drift_last_5,SAFE_FEATURE,PIT-safe pregame
opp_pl_heart_rate_last_3,SAFE_FEATURE,PIT-safe pregame
opp_pl_heart_rate_last_5,SAFE_FEATURE,PIT-safe pregame
opp_pl_heart_rate_season_baseline,SAFE_FEATURE,PIT-safe pregame
opp_pl_pfx_x_mean_last_3,SAFE_FEATURE,PIT-safe pregame
opp_pl_pfx_x_mean_last_5,SAFE_FEATURE,PIT-safe pregame
opp_pl_pfx_x_std_last_3,SAFE_FEATURE,PIT-safe pregame
opp_pl_pfx_x_std_last_5,SAFE_FEATURE,PIT-safe pregame
opp_pl_pfx_z_mean_last_3,SAFE_FEATURE,PIT-safe pregame
opp_pl_pfx_z_mean_last_5,SAFE_FEATURE,PIT-safe pregame
opp_pl_pfx_z_std_last_3,SAFE_FEATURE,PIT-safe pregame
opp_pl_pfx_z_std_last_5,SAFE_FEATURE,PIT-safe pregame
opp_pl_primary_mix_drift_last_3,SAFE_FEATURE,PIT-safe pregame
opp_pl_primary_mix_drift_last_5,SAFE_FEATURE,PIT-safe pregame
opp_pl_primary_pitch_pct_last_3,SAFE_FEATURE,PIT-safe pregame
opp_pl_primary_pitch_pct_last_5,SAFE_FEATURE,PIT-safe pregame
opp_pl_primary_pitch_pct_season_baseline,SAFE_FEATURE,PIT-safe pregame
opp_pl_secondary_2strike_drift_last_3,SAFE_FEATURE,PIT-safe pregame
opp_pl_secondary_2strike_drift_last_5,SAFE_FEATURE,PIT-safe pregame
opp_pl_secondary_pitch_pct_last_3,SAFE_FEATURE,PIT-safe pregame
opp_pl_secondary_pitch_pct_last_5,SAFE_FEATURE,PIT-safe pregame
opp_pl_sl_pct_last_3,SAFE_FEATURE,PIT-safe pregame
opp_pl_sl_pct_last_5,SAFE_FEATURE,PIT-safe pregame
opp_pl_spin_ff_mean_last_3,SAFE_FEATURE,PIT-safe pregame
opp_pl_spin_ff_mean_last_5,SAFE_FEATURE,PIT-safe pregame
opp_pl_spin_sl_mean_last_3,HIGH_NULL,null>57%
opp_pl_spin_sl_mean_last_5,HIGH_NULL,null>61%
opp_pl_two_strike_ff_pct_last_3,SAFE_FEATURE,PIT-safe pregame
opp_pl_two_strike_ff_pct_last_5,SAFE_FEATURE,PIT-safe pregame
opp_pl_two_strike_secondary_pct_last_3,SAFE_FEATURE,PIT-safe pregame
opp_pl_two_strike_secondary_pct_last_5,SAFE_FEATURE,PIT-safe pregame
opp_pl_two_strike_secondary_pct_season_baseline,SAFE_FEATURE,PIT-safe pregame
opp_pl_velo_drift_last_3,SAFE_FEATURE,PIT-safe pregame
opp_pl_velo_drift_last_5,SAFE_FEATURE,PIT-safe pregame
opp_pl_velo_effective_mean_last_3,SAFE_FEATURE,PIT-safe pregame
opp_pl_velo_effective_mean_last_5,SAFE_FEATURE,PIT-safe pregame
opp_pl_velo_ff_mean_last_3,SAFE_FEATURE,PIT-safe pregame
opp_pl_velo_ff_mean_last_5,SAFE_FEATURE,PIT-safe pregame
opp_pl_velo_ff_mean_season_baseline,SAFE_FEATURE,PIT-safe pregame
opp_pl_velo_mean_last_3,SAFE_FEATURE,PIT-safe pregame
opp_pl_velo_mean_last_5,SAFE_FEATURE,PIT-safe pregame
opp_pl_velo_std_last_3,SAFE_FEATURE,PIT-safe pregame
opp_pl_velo_std_last_5,SAFE_FEATURE,PIT-safe pregame
opp_pl_zone_drift_last_3,SAFE_FEATURE,PIT-safe pregame
opp_pl_zone_drift_last_5,SAFE_FEATURE,PIT-safe pregame
opp_pl_zone_rate_last_3,SAFE_FEATURE,PIT-safe pregame
opp_pl_zone_rate_last_5,SAFE_FEATURE,PIT-safe pregame
opp_pl_zone_rate_season_baseline,SAFE_FEATURE,PIT-safe pregame
top_order_hard_hit_rate,SAFE_FEATURE,PIT-safe pregame
top_order_barrel_rate,SAFE_FEATURE,PIT-safe pregame
top_order_avg_exit_velo,SAFE_FEATURE,PIT-safe pregame
top_order_xwoba_contact,SAFE_FEATURE,PIT-safe pregame
top_order_coverage,FORBIDDEN_FEATURE,market/outcome derived
middle_order_hard_hit_rate,SAFE_FEATURE,PIT-safe pregame
middle_order_barrel_rate,SAFE_FEATURE,PIT-safe pregame
