player_name,player_id,team,opponent,game_date,season,dataset_split,proj_ip,actual_ip,proj_tbf,actual_tbf,proj_k,actual_k,k_rate,bf_ip,statcast_available,csw_mod,whiff_mod,velo_mod,opp_k_mod,line,lean,edge,edge_bucket,model_prob_over,model_prob_under,model_prob_over_analytical,implied_prob_over,implied_prob_under,actual_odds,bet_win,seg_A,seg_B,seg_D,seg_E,n_books
Chris Flexen,623167.0,COL,ARI,2023-09-06,2023,TRAIN,5.22,2.1,25.2,14,3.98,,0.158,4.83,True,0.96,0.92,1.0,1.0,3.5,OVER,0.0435,2-5%,0.5386,0.4614,0.5629,0.4951,0.5049,-115.0,,False,True,False,False,9
Taj Bradley,671737.0,TB,TBR,2024-09-21,2024,VALIDATION,5.45,5.0,26.7,23,7.68,,0.2881,4.89,True,1.027,1.08,1.0,1.0,5.5,OVER,0.208,5%+,0.6968,0.3032,0.7779,0.4888,0.5112,-116.0,,False,True,False,False,7
Ryne Nelson,669194.0,AZ,OAK,2023-05-17,2023,TRAIN,4.66,5.1,21.4,20,2.97,,0.1385,4.6,True,0.926,0.92,1.0,1.116,4.5,UNDER,0.3359,5%+,0.1988,0.8012,0.1791,0.5347,0.4653,105.0,,False,True,True,False,10
Michael King,650633.0,SD,NYY,2025-05-06,2025,OOS,5.51,6.0,24.5,22,8.72,,0.3558,4.44,True,1.022,1.076,1.0,1.051,6.5,OVER,0.2254,5%+,0.6504,0.3496,0.7661,0.425,0.575,122.0,,False,True,True,False,6
Clarke Schmidt,657376.0,NYY,SDP,2025-05-06,2025,OOS,4.83,6.0,21.7,23,5.86,,0.2703,4.49,True,1.075,1.08,1.0,1.0,4.5,OVER,0.1415,5%+,0.6466,0.3534,0.6951,0.5051,0.4949,-315.0,,True,False,False,False,5
Jose Quintana,500779.0,MIL,MIA,2025-07-26,2025,OOS,5.68,5.0,24.7,23,3.28,,0.1329,4.34,True,0.974,0.92,1.0,0.904,3.5,UNDER,0.1599,5%+,0.406,0.594,0.4149,0.5659,0.4341,119.0,,False,True,False,False,8
Janson Junk,676083.0,MIA,MIL,2025-07-26,2025,OOS,5.75,5.0,24.5,21,2.23,,0.0911,4.26,True,0.923,0.92,1.0,0.89,3.5,UNDER,0.2613,5%+,0.2016,0.7984,0.1868,0.4629,0.5371,-132.0,,False,True,False,False,8
Alex Wood,622072.0,SF,SFG,2023-05-31,2023,TRAIN,4.13,4.1,19.4,24,5.24,,0.2696,4.71,True,1.071,1.053,1.0,1.0,4.5,UNDER,0.0457,2-5%,0.5448,0.4552,0.6003,0.5905,0.4095,-135.0,,True,True,False,False,11
Mitch Keller,656605.0,PIT,SFG,2023-05-31,2023,TRAIN,6.41,6.0,26.1,27,8.67,,0.3323,4.07,True,1.043,0.92,1.0,1.0,6.5,OVER,0.3406,5%+,0.7048,0.2952,0.7614,0.3642,0.6358,-120.0,,False,True,False,False,11
Tobias Myers,668964.0,MIL,NYM,2025-08-09,2025,OOS,3.91,3.1,20.4,17,2.62,4.0,0.1286,5.21,True,0.907,0.92,1.0,0.957,3.5,UNDER,0.216,5%+,0.2739,0.7261,0.2691,0.4899,0.5101,-116.0,0.0,False,True,False,False,8
Luis Castillo,622491.0,SEA,NYM,2023-09-02,2023,TRAIN,6.8,5.0,26.9,26,7.04,2.0,0.2619,3.96,True,0.978,1.058,1.0,0.988,6.5,OVER,0.0241,2-5%,0.5318,0.4682,0.5566,0.5077,0.4923,-240.0,0.0,False,True,False,False,9
David Peterson,656849.0,NYM,SEA,2023-09-02,2023,TRAIN,4.58,4.0,22.1,19,6.52,4.0,0.2945,4.83,True,1.027,1.08,1.0,1.148,5.5,OVER,0.0873,5%+,0.5798,0.4202,0.6342,0.4925,0.5075,-110.0,0.0,False,True,True,False,9
Lance McCullers Jr.,621121.0,HOU,SEA,2025-07-19,2025,OOS,4.3,2.2,40.8,16,8.98,1.0,0.2201,9.49,True,1.021,1.018,1.0,1.05,5.5,OVER,0.2246,5%+,0.6884,0.3116,0.8829,0.4638,0.5362,106.0,0.0,False,True,True,False,7
Logan Evans,688138.0,SEA,HOU,2025-07-19,2025,OOS,5.38,4.0,23.8,21,3.42,5.0,0.1438,4.43,True,1.001,0.956,1.0,0.942,3.5,UNDER,0.1219,5%+,0.4336,0.5664,0.4469,0.5555,0.4445,113.0,0.0,False,True,False,False,7
George Kirby,669923.0,SEA,PIT,2025-07-06,2025,OOS,5.7,6.1,23.5,24,5.19,9.0,0.2211,4.12,True,1.011,0.939,1.0,1.05,5.5,UNDER,0.1446,5%+,0.4,0.6,0.4178,0.5446,0.4554,112.0,0.0,False,True,True,False,8
Paul Skenes,694973.0,PIT,SEA,2025-07-06,2025,OOS,5.47,5.0,21.9,20,6.88,10.0,0.3138,4.01,True,1.011,1.08,1.0,1.05,7.5,UNDER,0.0844,5%+,0.3748,0.6252,0.3837,0.4592,0.5408,-136.0,0.0,False,True,True,False,8
