engine,player_name,player_id,game_date,season,dataset_split,team,opponent,p_k,bf_mean,bf_std,beta_concentration,proj_k,actual_bf,actual_k,line,lean,edge,edge_bucket,model_prob_over,model_prob_under,implied_prob_over,implied_prob_under,actual_odds,bet_win,odds_flag,statcast_available,seg_A,seg_D,seg_E,n_books
BetaBinomial,Trevor Williams,592866.0,2023-09-16,2023,TRAIN,WSH,MIL,0.1724,24.9,6.77,12.3,4.29,12,,3.5,OVER,0.0206,2-5%,0.5176,0.4824,0.497,0.503,-260.0,,False,True,False,False,False,9
BetaBinomial,Corbin Burnes,669203.0,2023-09-16,2023,TRAIN,MIL,WSN,0.2654,27.7,3.77,14.8,7.35,25,,6.5,OVER,0.061,5%+,0.544,0.456,0.483,0.517,-105.0,,False,True,False,False,False,9
BetaBinomial,Simeon Woods Richardson,680573.0,2024-08-27,2024,VALIDATION,MIN,ATL,0.2178,24.2,5.12,23.4,5.26,20,3.0,4.5,OVER,0.0282,2-5%,0.553,0.447,0.5248,0.4752,-118.0,0.0,False,True,False,True,False,7
BetaBinomial,Spencer Schwellenbach,680885.0,2024-08-27,2024,VALIDATION,ATL,MIN,0.3162,23.9,3.29,20.9,7.56,22,8.0,6.5,OVER,0.1355,5%+,0.5864,0.4136,0.4509,0.5491,-190.0,1.0,False,True,True,False,False,7
BetaBinomial,Brayan Bello,678394.0,2024-05-28,2024,VALIDATION,BOS,BAL,0.1914,22.3,2.49,12.7,4.28,24,7.0,4.5,UNDER,0.0217,2-5%,0.4152,0.5848,0.4369,0.5631,-455.0,0.0,False,True,False,False,False,9
BetaBinomial,Grayson Rodriguez,680570.0,2024-05-28,2024,VALIDATION,BAL,BOS,0.288,24.3,3.19,27.6,7.0,27,10.0,6.5,OVER,0.0478,2-5%,0.5314,0.4686,0.4836,0.5164,-106.0,1.0,False,True,False,True,False,9
BetaBinomial,Ross Stripling,548389.0,2024-04-15,2024,VALIDATION,OAK,STL,0.1739,22.2,4.45,50.0,3.87,25,4.0,3.5,UNDER,0.068,5%+,0.5182,0.4818,0.5862,0.4138,-480.0,0.0,False,True,False,False,False,10
BetaBinomial,Justin Steele,657006.0,2023-08-19,2023,TRAIN,CHC,KCR,0.2491,25.0,4.41,31.2,6.22,24,,6.5,UNDER,0.0109,0-2%,0.4232,0.5768,0.4341,0.5659,-305.0,,False,True,False,False,False,9
BetaBinomial,Brady Singer,663903.0,2023-08-19,2023,TRAIN,KC,CHC,0.2334,27.7,4.5,14.8,6.47,23,,5.5,OVER,0.118,5%+,0.5452,0.4548,0.4272,0.5728,120.0,,False,True,True,False,False,9
BetaBinomial,Logan Webb,657277.0,2025-06-19,2025,OOS,SF,SFG,0.2751,28.3,5.33,15.6,7.79,28,9.0,5.5,OVER,0.1143,5%+,0.6776,0.3224,0.5633,0.4367,-140.0,1.0,False,True,True,False,False,8
BetaBinomial,Gavin Williams,668909.0,2025-06-19,2025,OOS,CLE,SFG,0.2055,24.7,6.23,12.5,5.08,23,6.0,5.5,UNDER,0.0866,5%+,0.3828,0.6172,0.4694,0.5306,-138.0,0.0,False,True,False,False,False,8
BetaBinomial,Tarik Skubal,669373.0,2024-09-06,2024,VALIDATION,DET,OAK,0.3438,25.5,3.3,21.2,8.75,24,7.0,7.5,OVER,0.0921,5%+,0.6124,0.3876,0.5203,0.4797,-128.0,0.0,False,True,True,True,True,6
