market,matchup_type,N,raw_resid_pp,relative_resid_pp,sd_pp,t_stat,p_value,actual_hit_pct,book_implied_pct,ACTUAL_ODDS_ROI,dg_residual_pp,flag
top_10,STYLE_02_x_COURSE_C,435,-1.715445522197312,-4.257168293346977,22.778473959580598,-3.8979909115514366,0.00011233057231261625,5.287356321839081,7.002801844036393,-24.496559525787386,0.8805996390520556,MISMATCH_CANDIDATE
top_10,STYLE_02_x_COURSE_D,245,-3.735996816409828,-6.277719587559492,17.637789108594703,-5.571098145309654,6.674978235180528e-08,2.857142857142857,6.5931396735526855,-56.664912339051085,-1.2426317335265948,MISMATCH_CANDIDATE
top_10,STYLE_03_x_COURSE_A,2392,3.7269004543078035,1.1851776831581398,34.79699590934163,1.6657978633565855,0.09588467686933733,14.339464882943142,10.612564428635341,35.117812281560305,5.569296342347905,
top_10,STYLE_03_x_COURSE_B,3450,2.092037847702411,-0.44968492344725375,34.264912165496455,-0.7708471160041183,0.4408503574461604,14.115942028985506,12.023904181283099,17.39898968056448,4.710227917709596,
top_10,STYLE_03_x_COURSE_C,5947,3.423512088935344,0.881789317785679,34.63686637653195,1.9632482022855962,0.04966388123485374,14.679670422061545,11.256158333126201,30.41456940828695,5.036034572925141,
top_10,STYLE_03_x_COURSE_D,2688,3.861787196472636,1.3200644253229723,36.13780217111403,1.8938606626275063,0.05835082148482743,15.550595238095239,11.688808041622604,33.038331904512596,5.75642398165037,
top_10,STYLE_04_x_COURSE_A,597,2.0170307978960325,-0.5246919732536321,30.901850234235344,-0.4148652917099505,0.6783898095784465,11.725293132328309,9.708262334432275,20.77643483883036,4.358381671453745,
top_10,STYLE_04_x_COURSE_B,954,0.282714083286624,-2.2590086878630404,29.255744258081112,-2.384959110629001,0.017275671634459623,9.958071278825996,9.675357195539371,2.922001509328931,2.5414881953645643,
top_10,STYLE_04_x_COURSE_C,1546,1.1625132273440255,-1.3792095438056384,29.7953314528836,-1.8200644939664112,0.06894259696821843,10.866752910737388,9.70423968339336,11.979436465624493,3.3191370931269772,
top_10,STYLE_04_x_COURSE_D,626,4.238298364202715,1.69657559305305,33.128653925533094,1.281317009494123,0.20055752435534346,13.258785942492013,9.020487578289298,46.98524694389625,6.490033868201937,
top_5,STYLE_01_x_COURSE_A,403,1.1726491955653304,-0.031015705492470697,20.862399762721935,-0.029844885992933282,0.976205571755579,4.962779156327544,3.790129960762213,30.93955108941713,2.6632175907765254,EXPLORATORY
top_5,STYLE_01_x_COURSE_B,645,1.0254725691298416,-0.17819233192795922,20.192707969523408,-0.224116743891328,0.8227375457827192,4.496124031007752,3.4706514618779103,29.546976421970527,2.5538826961037313,EXPLORATORY
top_5,STYLE_01_x_COURSE_C,924,-0.5083404854921054,-1.712005386549906,16.504310544819656,-3.15314342501279,0.0016674058955003098,2.922077922077922,3.430418407570028,-14.81861467307699,0.9565322225394465,EXPLORATORY
top_5,STYLE_01_x_COURSE_D,360,2.486333523314137,1.2826686222563364,23.71070890138566,1.0264107276834198,0.30538910461971935,6.388888888888888,3.902555365574752,63.710397173262415,4.978344896261148,EXPLORATORY
top_5,STYLE_02_x_COURSE_A,149,0.5815091736758149,-0.6221557273819862,22.602893475735247,-0.3359914294197873,0.737353191620892,5.369127516778524,4.787618343102708,12.146105474626378,1.8285695128573778,EXPLORATORY
