season,N,label,wr,implied,resid,roi
2024,416,Fav hot streak RD5>1.5 (fav),0.5096153846153846,0.5315211024598085,-0.021905717844423966,-0.08158890431314132
2025,440,Fav hot streak RD5>1.5 (fav),0.5318181818181819,0.5342576317040163,-0.0024394498858344438,-0.04784970539329503
2022,113,Fav SP elite+confirming (fav),0.5663716814159292,0.534458218799256,0.03191346261667316,0.01921577737480746
2023,135,Fav SP elite+confirming (fav),0.4962962962962963,0.5329275895828175,-0.036631293286521205,-0.10860330746436099
2024,133,Fav SP elite+confirming (fav),0.5263157894736842,0.5367689654750498,-0.010453176001365638,-0.056487485075773426
2025,137,Fav SP elite+confirming (fav),0.5109489051094891,0.5330710519952054,-0.022122146885716343,-0.08814877222956907
2022,106,INT1: SP+RD5 mismatch (dog),0.46226415094339623,0.46950757021642486,-0.007243419273028628,-0.05890713060524382
2023,220,INT1: SP+RD5 mismatch (dog),0.3909090909090909,0.4679216263583814,-0.07701253544929054,-0.1985600581830528
2024,151,INT1: SP+RD5 mismatch (dog),0.49006622516556286,0.46901925691250823,0.021046968253054632,0.0003931836966507688
2025,141,INT1: SP+RD5 mismatch (dog),0.5106382978723405,0.46892553720428887,0.04171276066805163,0.04024128258153995
2022,82,INT2: SP+BP mismatch (dog),0.47560975609756095,0.46866358514308637,0.006946170954474584,-0.027536690951325087
2023,174,INT2: SP+BP mismatch (dog),0.39655172413793105,0.4676309271724114,-0.07107920303448034,-0.19139921218690661
2024,138,INT2: SP+BP mismatch (dog),0.48550724637681164,0.46768983216161897,0.017817414215192673,-0.005299399220967838
2025,127,INT2: SP+BP mismatch (dog),0.4724409448818898,0.46866187938951454,0.0037790654923752776,-0.03406832928990402
2022,18,INT3: Fav rep trap + dog form (dog),0.38888888888888884,0.46804556045721946,-0.07915667156833062,-0.19936267436267438
2023,21,INT3: Fav rep trap + dog form (dog),0.33333333333333337,0.47285366748095414,-0.13952033414762077,-0.34113172541743975
2024,29,INT3: Fav rep trap + dog form (dog),0.4137931034482759,0.4727588518705488,-0.05896574842227287,-0.15058050806529505
2025,21,INT3: Fav rep trap + dog form (dog),0.5238095238095238,0.4675264990295912,0.05628302477993263,0.06519394049375024
2022,38,INT4: Triple mismatch SP+BP+RD5 (dog),0.4473684210526315,0.4671555916346579,-0.019787170582026392,-0.08652882205513784
2023,86,INT4: Triple mismatch SP+BP+RD5 (dog),0.39534883720930236,0.4676283502344456,-0.07227951302514324,-0.18871080356032477
2024,70,INT4: Triple mismatch SP+BP+RD5 (dog),0.5142857142857142,0.47134428650005844,0.042941427785655795,0.0435105557374465
2025,60,INT4: Triple mismatch SP+BP+RD5 (dog),0.4833333333333333,0.4691826410648172,0.014150692268516063,-0.01677605042771769
2022,97,INT5: Fav SP improving + hot streak (fav),0.6597938144329897,0.535868399345975,0.12392541508701471,0.17798749628956484
2023,175,INT5: Fav SP improving + hot streak (fav),0.5142857142857142,0.5306919061266072,-0.01640619184089298,-0.07157294257958294
2024,141,INT5: Fav SP improving + hot streak (fav),0.5390070921985816,0.5324667711403254,0.006540321058256193,-0.02632783745577419
2025,125,INT5: Fav SP improving + hot streak (fav),0.44,0.5348253121862102,-0.09482531218621021,-0.21756146424486153
