TEAM_ID,TEAM_NAME,FTM,FTA,FT_PCT,PF,PFD,FTM_RANK,FTA_RANK,FT_PCT_RANK,PF_RANK,PFD_RANK,season,OPP_OPP_FTM,OPP_OPP_FTA,OPP_OPP_FT_PCT,OPP_OPP_PF,OPP_OPP_PFD,OPP_OPP_FTM_RANK,OPP_OPP_FTA_RANK,OPP_OPP_FT_PCT_RANK,OPP_OPP_PF_RANK,OPP_OPP_PFD_RANK
1610612753,Orlando Magic,18.5,24.4,0.759,19.7,20.9,6,1,26,23,1,2023-24,17.3,22.2,0.78,20.9,19.7,20,20,13,30,8
1610612755,Philadelphia 76ers,19.5,23.6,0.826,20.3,18.5,1,4,2,27,17,2023-24,18.6,23.5,0.791,18.5,20.3,25,25,22,14,4
1610612756,Phoenix Suns,18.9,23.4,0.808,18.0,19.7,3,6,6,8,5,2023-24,16.1,20.8,0.774,19.7,18.0,7,9,7,26,23
1610612757,Portland Trail Blazers,16.2,20.5,0.791,20.2,17.9,20,23,9,26,26,2023-24,18.7,23.6,0.792,17.9,20.2,27,26,24,4,5
1610612758,Sacramento Kings,15.5,20.9,0.745,19.9,18.3,27,21,30,24,19,2023-24,18.5,23.1,0.8,18.3,19.9,24,24,27,12,7
1610612759,San Antonio Spurs,15.6,20.0,0.782,17.2,17.9,25,28,14,3,25,2023-24,16.0,20.5,0.784,17.9,17.2,6,6,16,6,28
1610612761,Toronto Raptors,16.3,21.6,0.756,18.4,18.1,18,16,29,12,22,2023-24,15.6,19.8,0.789,18.1,18.4,5,5,19,9,19
1610612762,Utah Jazz,18.8,22.6,0.83,18.6,19.2,4,10,1,16,8,2023-24,16.6,21.6,0.771,19.2,18.6,12,14,5,23,15
1610612764,Washington Wizards,15.4,20.2,0.764,20.0,18.0,28,25,24,25,23,2023-24,18.6,24.0,0.777,18.0,20.0,26,27,10,8,6
1610612737,Atlanta Hawks,18.0,23.2,0.775,19.1,19.1,3,4,18,22,8,2024-25,18.2,22.7,0.802,19.1,19.1,24,23,30,23,9
1610612738,Boston Celtics,15.3,19.1,0.799,15.9,17.5,30,30,6,2,27,2024-25,13.8,17.7,0.777,17.5,15.9,1,1,14,4,29
1610612751,Brooklyn Nets,16.3,20.7,0.787,20.7,18.9,23,23,11,28,14,2024-25,18.4,23.6,0.779,18.9,20.7,26,25,18,17,3
