Engine commit: ae55ebe32
Games: 1087 total, 0 done, 1087 to run
Workers: 10 (cores=11, avail_mem=7.6GB, peak_rss=321MB)
  [144/1087] 2021_10_KC_LV: 39.9s, 2 iter
  [145/1087] 2021_10_TB_WAS: 39.8s, 2 iter
  [146/1087] 2021_10_LA_SF: 56.4s, 3 iter
  [147/1087] 2021_10_MIN_LAC: 58.8s, 3 iter
  [148/1087] 2021_10_SEA_GB: 55.4s, 3 iter
  [149/1087] 2021_10_NO_TEN: 57.9s, 3 iter
  [150/1087] 2021_10_PHI_DEN: 59.1s, 3 iter
  [151/1087] 2021_11_BAL_CHI: 58.6s, 3 iter
  [152/1087] 2021_11_CIN_LV: 58.0s, 3 iter
  [153/1087] 2021_11_DAL_KC: 60.4s, 3 iter
  [154/1087] 2021_11_ARI_SEA: 84.1s, 4 iter
  [155/1087] 2021_11_DET_CLE: 55.5s, 3 iter
  [156/1087] 2021_11_GB_MIN: 55.9s, 3 iter
  [157/1087] 2021_11_HOU_TEN: 58.0s, 3 iter
  [158/1087] 2021_11_IND_BUF: 57.4s, 3 iter
  [159/1087] 2021_11_MIA_NYJ: 57.5s, 3 iter
  [160/1087] 2021_11_NYG_TB: 40.1s, 2 iter
  [161/1087] 2021_11_SF_JAX: 37.5s, 2 iter
  [162/1087] 2021_12_CHI_DET: 19.2s, 1 iter
  [163/1087] 2021_11_NE_ATL: 79.5s, 4 iter
  [164/1087] 2021_12_ATL_JAX: 39.0s, 2 iter
  [165/1087] 2021_11_PIT_LAC: 57.7s, 3 iter
  [166/1087] 2021_12_BUF_NO: 39.3s, 2 iter
  [167/1087] 2021_12_CAR_MIA: 39.2s, 2 iter
  [168/1087] 2021_11_NO_PHI: 80.9s, 4 iter
  [169/1087] 2021_11_WAS_CAR: 58.7s, 3 iter
  [170/1087] 2021_12_LA_GB: 36.5s, 2 iter
  [171/1087] 2021_12_CLE_BAL: 54.2s, 3 iter
  [172/1087] 2021_12_LAC_DEN: 55.5s, 3 iter
  [173/1087] 2021_12_SEA_WAS: 39.5s, 2 iter
  [174/1087] 2021_12_LV_DAL: 59.8s, 3 iter
  [175/1087] 2021_12_MIN_SF: 57.1s, 3 iter
  [176/1087] 2021_12_NYJ_HOU: 56.6s, 3 iter
  [177/1087] 2021_12_PIT_CIN: 54.1s, 3 iter
  [178/1087] 2021_12_PHI_NYG: 59.8s, 3 iter
  [179/1087] 2021_13_ARI_CHI: 40.6s, 2 iter
  [180/1087] 2021_12_TEN_NE: 57.4s, 3 iter
  [181/1087] 2021_12_TB_IND: 75.2s, 4 iter
  [182/1087] 2021_13_PHI_NYJ: 0.1s, 0 iter [NOT CONVERGED]
  [183/1087] 2021_13_BAL_PIT: 56.4s, 3 iter
  [184/1087] 2021_13_LAC_CIN: 38.0s, 2 iter
