label,N,WR,ImpWR,Resid,ROI_fav,ROI_dog,phase,dim
MIXED+HIGH,86,0.4302,0.5377,-0.1075,-22.99,18.69,Discovery,reason_total
SP-LED+LOW,54,0.537,0.5401,-0.0031,-4.77,-3.65,Validation,reason_total
SP-LED+MID,33,0.3636,0.5374,-0.1737,-34.67,32.55,Validation,reason_total
MIXED+LOW,174,0.5115,0.5369,-0.0254,-8.88,0.84,Validation,reason_total
MIXED+MID,118,0.5424,0.5346,0.0078,-2.67,-5.62,Validation,reason_total
MIXED+HIGH,41,0.4878,0.5352,-0.0474,-12.89,5.27,Validation,reason_total
SP-LED+LOW,40,0.55,0.539,0.011,-2.71,-7.16,OOS,reason_total
SP-LED+MID,55,0.4909,0.536,-0.0451,-12.95,4.17,OOS,reason_total
MIXED+LOW,139,0.4964,0.5331,-0.0367,-10.9,3.24,OOS,reason_total
MIXED+MID,164,0.4817,0.5354,-0.0536,-14.11,6.54,OOS,reason_total
MIXED+HIGH,55,0.5455,0.5317,0.0137,-2.31,-7.68,OOS,reason_total
