axis,band,split,dataset,N,win_rate,implied,residual,roi_pct
rest,B,rest_even (diff==0),Val,545,0.46238532110091746,0.5058469572935053,-0.043461636192587805,-12.485326082760404
rest,B,rest_even (diff==0),OOS,607,0.5420098846787479,0.5056505930253157,0.03635929165343221,2.635449228191608
rest,B,rest_adv_fav,Disc,33,0.5151515151515151,0.5308640863705656,-0.015712571219050453,-7.1328671328671325
rest,B,rest_adv_fav,Val,19,0.42105263157894735,0.5327808474867418,-0.11172821590779447,-24.35897435897436
rest,B,rest_adv_dog,Disc,28,0.32142857142857145,0.4712350585075446,-0.14980648707897315,-34.891456582633054
rest,B,rest_disadv_fav,Disc,26,0.6923076923076923,0.5327225051808091,0.1595851871268832,24.05325443786982
rest,B,rest_disadv_dog,Disc,16,0.4375,0.46703159080525314,-0.02953159080525314,-10.937499999999998
rest,C,rest_adv (diff>0),Disc,92,0.4891304347826087,0.5080839347921953,-0.018953500009586566,-8.86424781208486
rest,C,rest_adv (diff>0),Val,45,0.4666666666666667,0.5139417202117139,-0.04727505354504724,-14.507423903981023
rest,C,rest_adv (diff>0),OOS,35,0.45714285714285713,0.4998004319538045,-0.042657574810947396,-12.369625712863568
rest,C,rest_disadv (diff<0),Disc,70,0.5571428571428572,0.5133988634365269,0.04374399370633031,4.007046426499313
rest,C,rest_disadv (diff<0),Val,26,0.5769230769230769,0.5006133079949833,0.0763097689280936,11.585655740011742
rest,C,rest_disadv (diff<0),OOS,29,0.41379310344827586,0.5117081259383957,-0.0979150224901198,-23.74361815657545
rest,C,rest_even (diff==0),Disc,1895,0.5044854881266491,0.5062910185963891,-0.0018055304697400798,-4.630103811440226
rest,C,rest_even (diff==0),Val,898,0.48329621380846327,0.5094213670700538,-0.02612515326159054,-9.05282689571284
rest,C,rest_even (diff==0),OOS,946,0.5285412262156448,0.5076797890992689,0.02086143711637589,0.03040125807004211
rest,C,rest_adv_fav,Disc,53,0.5849056603773585,0.5411953449487473,0.043710315428611146,3.3292450113569516
rest,C,rest_adv_fav,Val,30,0.5333333333333333,0.5416314369335903,-0.008298103600256956,-6.16113585597154
rest,C,rest_adv_fav,OOS,18,0.4444444444444444,0.5392375006099446,-0.09479305616550016,-21.723073962376326
rest,C,rest_adv_dog,Disc,39,0.358974358974359,0.4630863773999577,-0.10411201842559875,-25.43489190548014
rest,C,rest_adv_dog,Val,15,0.3333333333333333,0.45856228676796135,-0.12522895343462803,-31.2
rest,C,rest_adv_dog,OOS,17,0.47058823529411764,0.45804353572965617,0.01254469956446147,-2.465974625144175
rest,C,rest_disadv_fav,Disc,45,0.6,0.5437781185634063,0.05622188143659368,6.010961107887817
rest,C,rest_disadv_fav,OOS,18,0.4444444444444444,0.5404932819242627,-0.0960488374798183,-22.14467456816459
rest,C,rest_disadv_dog,Disc,25,0.48,0.4587162042081435,0.021283795791856464,0.39999999999999863
day_night,B,day_game,Disc,355,0.5070422535211268,0.5037621071671279,0.0032801463539988696,-3.754395394472427
day_night,B,day_game,Val,186,0.4731182795698925,0.5077624097952481,-0.03464413022535562,-10.993292900389859
day_night,B,day_game,OOS,193,0.5025906735751295,0.508300442840993,-0.005709769265863418,-5.821496195954137
day_night,B,night_game,Disc,926,0.4924406047516199,0.5035911264943274,-0.011150521742707475,-6.353605036741417
day_night,B,night_game,Val,399,0.46115288220551376,0.5052147808314691,-0.04406189862595533,-12.402720247919767
day_night,B,night_game,OOS,450,0.5511111111111111,0.5045386082723533,0.0465725028387578,4.833554428069074
