outcome,class,feature_a,feature_b,features,n_flagged,z_score,hit_rate,baseline,direction,val_z,val_n,val_hit,oos_z,oos_n,oos_hit,oos_att
b110,B,home_drtg_H,home_games_last_5_H,home_drtg_H × home_games_last_5_H,338,2.997450222230077,0.5562130177514792,0.47479674796747967,OVER,1.3602762987601689,537,0.45996275605214154,1.243159883541275,467,0.45610278372591007,58.526087461883705
b110,B,home_pace_H,away_pace_H,home_pace_H × away_pace_H,132,3.194352191167482,0.6136363636363636,0.47479674796747967,OVER,3.853131258080763,79,0.6455696202531646,2.8562247029020003,55,0.6181818181818182,10.585166194273086
b110,B,home_pace_H,games_l7_home_H,home_pace_H × games_l7_home_H,337,2.944602064528259,0.5548961424332344,0.47479674796747967,OVER,4.445910530726555,277,0.5631768953068592,4.032571378311236,245,0.5551020408163265,-36.94792335063024
b110,B,home_pace_H,games_l7_away_H,home_pace_H × games_l7_away_H,334,3.1138735029233264,0.5598802395209581,0.47479674796747967,OVER,4.693494797097917,257,0.5758754863813229,4.6792241230638245,241,0.5767634854771784,-50.27020586003047
b110,B,away_pace_H,home_3pa_rate_H,away_pace_H × home_3pa_rate_H,147,3.99785151986307,0.6394557823129252,0.47479674796747967,OVER,3.098166489042637,113,0.5752212389380531,1.776118776341201,161,0.4968944099378882,55.57316804997213
b110,B,away_pace_H,away_tov_rate_H,away_pace_H × away_tov_rate_H,160,3.171451173970402,0.6,0.47479674796747967,OVER,2.7121299768150666,83,0.5783132530120482,1.8059801577735868,107,0.514018691588785,43.05508555212455
b110,B,away_pace_H,home_dreb_rate_L,away_pace_H × home_dreb_rate_L,131,3.464556394679434,0.6259541984732825,0.47479674796747967,OVER,3.7301193151437184,124,0.5967741935483871,2.422892214806549,117,0.5384615384615384,30.066307521291403
b110,B,away_pace_H,games_l7_away_H,away_pace_H × games_l7_away_H,348,3.410515471663192,0.5660919540229885,0.47479674796747967,OVER,3.48738857761207,252,0.5396825396825397,2.5410713292079548,193,0.5181347150259067,25.493042024853764
b110,B,away_ortg_x_home_drtg_H,away_3pa_rate_H,away_ortg_x_home_drtg_H × away_3pa_rate_H,161,2.2975393568538465,0.5652173913043478,0.47479674796747967,OVER,1.7106279828264037,276,0.48188405797101447,1.6993790260619146,338,0.47337278106508873,26.034824126409195
b110,B,away_ortg_x_home_drtg_H,away_tov_rate_H,away_ortg_x_home_drtg_H × away_tov_rate_H,87,3.5838427587997663,0.6666666666666666,0.47479674796747967,OVER,0.6567852636024518,97,0.4639175257731959,2.4138292889015003,140,0.5285714285714286,32.64689744061498
b110,B,away_ortg_trend_L,proj_total_naive_H,away_ortg_trend_L × proj_total_naive_H,128,3.934042721428285,0.6484375,0.47479674796747967,OVER,1.3902266265473904,231,0.47619047619047616,2.5194615563644405,168,0.5238095238095238,35.95744289605146
b110,B,away_pace_trend_H,home_dreb_rate_L,away_pace_trend_H × home_dreb_rate_L,137,2.558267726786609,0.583941605839416,0.47479674796747967,OVER,3.6054742946848997,185,0.5621621621621622,1.8743544732202284,240,0.4875,26.73345117109502
b110,B,away_pace_trend_H,proj_total_naive_H,away_pace_trend_H × proj_total_naive_H,156,3.997349758145779,0.6346153846153846,0.47479674796747967,OVER,4.58961766745548,219,0.5844748858447488,3.5255659028563806,155,0.567741935483871,11.802416196581236
b110,B,away_tov_rate_L,away_travel_miles_est_H,away_tov_rate_L × away_travel_miles_est_H,123,2.9973534702479676,0.6097560975609756,0.47479674796747967,OVER,0.6044225167419768,224,0.45089285714285715,1.3263864996620447,143,0.4825174825174825,55.74807866913627
h120,B,b2b_flag_away,away_drtg_H,b2b_flag_away × away_drtg_H,80,4.263135206510048,0.575,0.34796747967479674,OVER,3.1713445927834027,86,0.5,1.7733730525275975,60,0.43333333333333335,58.40213911537319
h120,B,b2b_flag_away,home_ortg_x_away_drtg_H,b2b_flag_away × home_ortg_x_away_drtg_H,78,4.007454629672105,0.5641025641025641,0.34796747967479674,OVER,3.9275753728135427,83,0.5421686746987951,3.141655928923078,53,0.5283018867924528,21.60470375231341
h120,B,b2b_flag_away,home_tov_rate_L,b2b_flag_away × home_tov_rate_L,74,3.721873456096284,0.5540540540540541,0.34796747967479674,OVER,0.909808186996544,108,0.37962962962962965,1.94287136484105,61,0.4426229508196721,47.79856468094845
h120,B,home_ortg_H,away_pace_H,home_ortg_H × away_pace_H,133,5.046247453250877,0.556390977443609,0.34796747967479674,OVER,4.454180329499118,137,0.5182481751824818,4.294802570912485,73,0.5616438356164384,14.891161983233673
h120,B,away_tov_rate_H,proj_total_naive_H,away_tov_rate_H × proj_total_naive_H,116,4.997047234567586,0.5689655172413793,0.34796747967479674,OVER,0.8466312829588386,81,0.38271604938271603,4.010666079216572,128,0.4921875,19.739280199867267
a120,B,home_ortg_L,proj_total_naive_H,home_ortg_L × proj_total_naive_H,36,3.964354562513622,0.5555555555555556,0.26422764227642276,OVER,1.4349435361926781,39,0.38461538461538464,4.348629844869799,62,0.5161290322580645,-9.693262201868363
