event_id,game_date,home_team,away_team,book_open,book_noon,book_move,dk_open,dk_noon,dk_move,bookmaker
d986a775114c6ef549e524b3bc7a332b,2025-06-07,New York Yankees,Boston Red Sox,8.0,7.5,-0.5,8.0,7.5,-0.5,bovada
f8a95b0ec8c03aed62c6eb7e7e1c5b42,2025-06-08,Detroit Tigers,Chicago Cubs,8.5,8.5,0.0,8.5,8.5,0.0,bovada
12aac445fabac34890553bfa00ac48d2,2025-06-10,Kansas City Royals,New York Yankees,8.5,8.5,0.0,8.5,8.5,0.0,bovada
611d3c218636231fc94067cd5d504569,2025-06-11,Philadelphia Phillies,Chicago Cubs,8.5,9.0,0.5,8.5,9.0,0.5,bovada
220586c0c048cd52f6f70d9b4dc6fcc1,2025-06-13,New York Mets,Tampa Bay Rays,8.0,8.0,0.0,8.0,8.0,0.0,bovada
cc9540ac3bb58537865c4f4847828c4f,2025-06-14,Seattle Mariners,Cleveland Guardians,7.0,7.0,0.0,7.0,7.0,0.0,bovada
f3874c2243da09d4fa7f10a5d9d1ea4c,2025-06-14,Atlanta Braves,Colorado Rockies,8.5,8.5,0.0,8.5,8.5,0.0,bovada
a8949b2cdea105832c8e772f06f6b3b3,2025-06-14,New York Mets,Tampa Bay Rays,7.0,7.0,0.0,7.0,7.0,0.0,bovada
71a7a4d929485173a722157a08cf4a62,2025-06-15,Boston Red Sox,New York Yankees,8.5,8.5,0.0,8.5,8.5,0.0,bovada
d2af7353959b4ffaeba1cd4c7c3d9c9e,2025-06-18,Seattle Mariners,Boston Red Sox,7.5,7.5,0.0,7.5,7.0,-0.5,bovada
4d6041c5fd9b06331cb6b479f2478a44,2025-06-18,Seattle Mariners,Boston Red Sox,6.5,6.5,0.0,7.0,6.5,-0.5,bovada
4860bcebbeb89aa06f51869b174757e8,2025-06-21,San Francisco Giants,Boston Red Sox,7.5,7.5,0.0,7.5,7.5,0.0,bovada
f5637ec07726be9668aaaf1a07e0bc58,2025-06-21,San Francisco Giants,Boston Red Sox,8.0,7.5,-0.5,8.0,7.5,-0.5,bovada
48b5cc44e2634bf12247d33bc3f07cc6,2025-06-22,Los Angeles Angels,Houston Astros,8.0,8.0,0.0,8.5,8.5,0.0,bovada
1e525e9f5bf0beb955c4c99cdf8b03b4,2025-06-22,Los Angeles Dodgers,Washington Nationals,9.0,9.5,0.5,9.0,9.5,0.5,bovada
65363578fa7c9c7d0e0acaf0eda36f62,2025-06-22,Los Angeles Angels,Houston Astros,9.0,9.0,0.0,9.0,9.0,0.0,bovada
3963624635ff94b403f0f5ecb67e4592,2025-06-22,Los Angeles Dodgers,Washington Nationals,9.5,9.5,0.0,9.5,9.5,0.0,bovada
a6af4156d8c113e8161d35ad4d5bd8c4,2025-06-23,St. Louis Cardinals,Chicago Cubs,9.0,9.0,0.0,9.0,9.0,0.0,bovada
ab442f2d5d661442a92214eea40f9d68,2025-06-24,Los Angeles Angels,Boston Red Sox,9.5,9.0,-0.5,9.0,9.0,0.0,bovada
cde0de2d7a1b718f6225f54d431d3b5b,2025-06-24,Kansas City Royals,Tampa Bay Rays,8.5,8.5,0.0,8.5,8.5,0.0,bovada
78303735a28a8945defbe340c9189c67,2025-06-25,Houston Astros,Philadelphia Phillies,7.5,7.5,0.0,7.0,7.5,0.5,bovada
0cdc784258183116252ac5d1378951d3,2025-06-25,Kansas City Royals,Tampa Bay Rays,9.0,9.0,0.0,9.0,9.0,0.0,bovada
3c5888c235d16da1cb07d27500f6484b,2025-06-26,Kansas City Royals,Tampa Bay Rays,10.0,10.0,0.0,10.0,10.0,0.0,bovada
66b3deadcf58987b4787f5972be173e0,2025-06-28,Los Angeles Angels,Washington Nationals,8.5,9.0,0.5,8.5,9.0,0.5,bovada
49b52848c1647d0e1ed9c5e7a994a2ac,2025-06-29,Baltimore Orioles,Tampa Bay Rays,9.5,9.5,0.0,10.0,9.5,-0.5,bovada
092f744db7cfd6008f4d6196cb49c49e,2025-07-02,Chicago Cubs,Cleveland Guardians,8.0,8.0,0.0,8.0,8.0,0.0,bovada
64d16ffeb626ab9ad62cf5e2bb4de155,2025-07-04,Atlanta Braves,Baltimore Orioles,8.5,8.5,0.0,9.0,8.5,-0.5,bovada
f419d8e9c58162f8438267e823f31f6a,2025-07-05,Minnesota Twins,Tampa Bay Rays,9.5,10.0,0.5,9.5,10.0,0.5,bovada
5bee622ce89e0a4489f3a56e86d347e7,2025-07-06,Washington Nationals,Boston Red Sox,8.5,8.5,0.0,8.5,8.0,-0.5,bovada
092982499c086275fede9384d35b744c,2025-07-07,Detroit Tigers,Tampa Bay Rays,9.0,8.5,-0.5,9.0,8.5,-0.5,bovada
27a91ef8342d077702b9d7b0b1091509,2025-07-09,Minnesota Twins,Chicago Cubs,9.0,9.5,0.5,9.0,9.5,0.5,bovada
0ebdb81e21eab854a1a518f50f873575,2025-07-10,Boston Red Sox,Tampa Bay Rays,9.0,9.0,0.0,9.0,9.0,0.0,bovada
1019921bba993253c9fec6e75dbc94dc,2025-07-11,Chicago White Sox,Cleveland Guardians,8.5,8.5,0.0,8.5,9.0,0.5,bovada
e6a1e6016b88d0ddbe71cfb2878d35c2,2025-07-11,Boston Red Sox,Tampa Bay Rays,9.0,9.0,0.0,9.0,9.0,0.0,bovada
75a61f894282010499d1f2157a9e2ec3,2025-07-12,Chicago White Sox,Cleveland Guardians,8.0,8.0,0.0,8.0,8.0,0.0,bovada
1b49a87523e8acccff93553d9397b6a8,2025-07-12,San Diego Padres,Philadelphia Phillies,8.0,8.0,0.0,8.0,8.0,0.0,bovada
d313055095211a9b7f8d3d61142cbe50,2025-07-12,Boston Red Sox,Tampa Bay Rays,8.0,8.0,0.0,8.0,8.0,0.0,bovada
a7569378b45bee076352cff63bc9279e,2025-07-12,Chicago White Sox,Cleveland Guardians,8.5,9.0,0.5,8.5,9.0,0.5,bovada
3059bccb405e5d0307f1e6bf2ccd59b5,2025-07-12,San Diego Padres,Philadelphia Phillies,7.5,7.5,0.0,7.5,7.5,0.0,bovada
58ef42cde044286fa10994c77054c2ca,2025-07-18,Tampa Bay Rays,Baltimore Orioles,9.0,9.0,0.0,9.0,9.0,0.0,bovada
271cd28f15855c955ba107028779a91f,2025-07-19,Chicago Cubs,Boston Red Sox,9.0,9.0,0.0,9.0,9.0,0.0,bovada
95e589555287a5421cca5e3add3ea3dd,2025-07-20,Chicago Cubs,Boston Red Sox,6.5,6.5,0.0,7.0,6.5,-0.5,bovada
c6ac23c74068ed0fab92cf65095cd29b,2025-07-23,Tampa Bay Rays,Chicago White Sox,9.0,9.0,0.0,9.0,9.0,0.0,bovada
57d1fa48adc312a9162fd4f446c7935e,2025-07-26,Kansas City Royals,Cleveland Guardians,8.0,8.0,0.0,8.5,8.0,-0.5,bovada
ba6ac31e3cdf64fb8029f2520871084a,2025-07-26,Kansas City Royals,Cleveland Guardians,8.5,9.0,0.5,8.5,9.0,0.5,bovada
6f66e5fb7023112481cf930432c3c904,2025-07-26,Chicago White Sox,Chicago Cubs,9.0,9.5,0.5,9.0,9.0,0.0,bovada
5f2b564a23b724fd772a26061b37f644,2025-07-26,Kansas City Royals,Cleveland Guardians,8.0,8.0,0.0,8.0,8.0,0.0,bovada
529a50ae19c4c1aedacb6e39d31dcf80,2025-07-27,Boston Red Sox,Los Angeles Dodgers,10.5,10.0,-0.5,10.5,10.0,-0.5,bovada
c7a25002d491231051c1015423bdd467,2025-07-27,New York Yankees,Philadelphia Phillies,7.5,7.5,0.0,7.5,7.5,0.0,bovada
0f24a2035d6bfb891a82dcff832035dc,2025-07-27,Cincinnati Reds,Tampa Bay Rays,9.0,9.5,0.5,9.5,9.5,0.0,bovada
41a5f751a413964a42aad354f1aff280,2025-07-27,Chicago White Sox,Chicago Cubs,8.5,8.5,0.0,8.5,8.5,0.0,bovada
e55ef8947a145ba7f894f60fec2b4102,2025-07-28,New York Yankees,Tampa Bay Rays,8.5,8.5,0.0,8.5,8.5,0.0,bovada
f14e4ffd744930ed293c780fbd8dc43e,2025-08-02,Miami Marlins,New York Yankees,8.0,8.0,0.0,8.0,8.0,0.0,bovada
7c37db7597b73a70a4a7413efe935cf6,2025-08-06,Los Angeles Angels,Tampa Bay Rays,8.0,8.0,0.0,8.5,8.0,-0.5,bovada
181b797906fb30d48330d972b4d89856,2025-08-06,New York Mets,Cleveland Guardians,7.5,7.5,0.0,8.0,7.5,-0.5,bovada
77393b843f5191b9c7b35838078355ac,2025-08-06,Los Angeles Angels,Tampa Bay Rays,9.0,9.0,0.0,9.0,9.0,0.0,bovada
b73c4fdd5b701d28bda8146dfa266a17,2025-08-09,Atlanta Braves,Miami Marlins,9.0,8.5,-0.5,9.0,9.0,0.0,bovada
f53a0cf0e7855abec7c8bf5f7c1c24f0,2025-08-09,Atlanta Braves,Miami Marlins,8.5,8.5,0.0,8.5,8.5,0.0,bovada
7aed97b9d5ab468609a1dc8a80a706e7,2025-08-10,San Diego Padres,Boston Red Sox,7.5,7.5,0.0,7.5,7.5,0.0,bovada
23647188f96bbc09c19e1e687b17b85f,2025-08-10,Texas Rangers,Philadelphia Phillies,7.5,7.5,0.0,8.0,7.5,-0.5,bovada
52b074dcbd847b58ba6732fd972f4987,2025-08-10,San Diego Padres,Boston Red Sox,7.5,7.5,0.0,7.5,7.5,0.0,bovada
8feb7474dcef657adf6f1ac27d414462,2025-08-11,St. Louis Cardinals,Colorado Rockies,8.5,8.5,0.0,8.5,8.5,0.0,bovada
bbc2d2d18b529572282f9d1ce52e72d2,2025-08-12,Houston Astros,Boston Red Sox,7.5,7.5,0.0,7.5,7.5,0.0,bovada
7e66362a6a9d3ae610821bec3fb6f7c3,2025-08-12,Oakland Athletics,Tampa Bay Rays,9.5,10.0,0.5,9.5,10.0,0.5,bovada
7207e85ba3a29618de6c3b8e4f921b34,2025-08-13,Oakland Athletics,Tampa Bay Rays,9.5,10.0,0.5,10.0,9.5,-0.5,bovada
51b0d74dc7083b707a542028aafa1a7a,2025-08-13,Toronto Blue Jays,Chicago Cubs,8.5,8.5,0.0,8.5,8.5,0.0,bovada
dd870cf0a61e44ace6bc5040c5aec20d,2025-08-15,Washington Nationals,Philadelphia Phillies,8.0,8.0,0.0,8.0,8.0,0.0,bovada
8fc56aeb36f71412d124dbb6272003c4,2025-08-20,Washington Nationals,New York Mets,9.0,8.5,-0.5,9.0,9.0,0.0,bovada
80d4ffc0794e072e88a86902a17b9c64,2025-08-20,Tampa Bay Rays,New York Yankees,8.5,8.5,0.0,8.5,8.5,0.0,bovada
44580bb593e9f1fa0e44ca74f2a35c07,2025-08-22,Philadelphia Phillies,Washington Nationals,9.5,9.0,-0.5,9.5,9.0,-0.5,bovada
84f779b1fa7b3c03a01a0a174ef7c6ca,2025-08-22,New York Yankees,Boston Red Sox,8.5,8.5,0.0,8.5,8.5,0.0,bovada
