features,feature_a,feature_b,depth,n_flagged,z_score,mean_residual,z_a,z_b,controlled_z,bucket_consistent,month_consistent,direction,plausibility,val_n,val_z,val_mean_residual,val_direction,val_consistent,val_status,val_attenuation,oos_n,oos_z,oos_mean_residual,oos_direction,oos_consistent,oos_status,oos_attenuation,synthetic_roi,real_roi,games_per_season
opp_pl_zone_drift_last_3_HIGH × high_lev_k_rate_baseline_HIGH,opp_pl_zone_drift_last_3_HIGH,high_lev_k_rate_baseline_HIGH,2,122,2.236238337250022,1.3729508196721312,0.2002418164726616,0.4613917789240153,2.4517942003103617,4,4,OVER,PLAUSIBLE,100,-1.3735044820344622,-0.155,UNDER,False,DEAD,,,,,,,,,,,
opp_pl_zone_drift_last_3_LOW × med_lev_k_rate_last_5_LOW,opp_pl_zone_drift_last_3_LOW,med_lev_k_rate_last_5_LOW,2,107,2.6513139539867607,1.6168224299065421,0.5400826788731089,0.7857934268453529,3.2922601075017037,3,3,OVER,PLAUSIBLE,223,0.3698906569036163,0.5358744394618834,OVER,True,WEAK,86.04877946093806,213.0,-0.18470880900701844,0.3028169014084507,UNDER,False,DEAD,,,,
opp_pl_zone_drift_last_5_LOW × med_lev_bb_rate_last_5_LOW,opp_pl_zone_drift_last_5_LOW,med_lev_bb_rate_last_5_LOW,2,88,-2.015911655531793,-0.5170454545454546,-0.29271274484847565,-0.4555121776203563,-2.1524415158208874,3,4,UNDER,PLAUSIBLE,215,-0.4964081223616977,0.28604651162790695,UNDER,True,WEAK,75.37550214566589,172.0,-0.2776573600144374,0.26453488372093026,UNDER,True,WEAK,86.22670992290125,,,
opp_pl_zone_drift_last_5_LOW × exit_prob_by_4_last_10_LOW,opp_pl_zone_drift_last_5_LOW,exit_prob_by_4_last_10_LOW,2,147,-2.0407722330742337,-0.30612244897959184,-0.29271274484847565,-0.5752722144153565,-2.216536679507629,4,4,UNDER,PLAUSIBLE,292,0.03223026777136846,0.4383561643835616,OVER,False,DEAD,,,,,,,,,,,
opp_pl_zone_rate_last_3_HIGH × bottom_order_hard_hit_rate_LOW,opp_pl_zone_rate_last_3_HIGH,bottom_order_hard_hit_rate_LOW,2,118,-2.750880957593528,-0.690677966101695,-1.1024814893957193,-1.9548287708297178,-2.5023531278475915,3,4,UNDER,PLAUSIBLE,192,-0.34922059696310775,0.3229166666666667,UNDER,True,WEAK,87.30513597838105,280.0,-0.31531040927990733,0.275,UNDER,True,WEAK,88.53783881816022,,,
opp_pl_zone_rate_last_3_HIGH × high_lev_k_rate_last_5_LOW,opp_pl_zone_rate_last_3_HIGH,high_lev_k_rate_last_5_LOW,2,101,-2.2646822015725663,-0.5643564356435643,-1.1024814893957193,-1.3582185415951227,-2.15889086992488,3,3,UNDER,PLAUSIBLE,198,-0.47866677336523356,0.28535353535353536,UNDER,True,WEAK,78.86384354357297,262.0,0.44323823961989656,0.48282442748091603,OVER,False,DEAD,,,,
opp_pl_zone_rate_last_3_HIGH × med_lev_k_rate_last_5_LOW,opp_pl_zone_rate_last_3_HIGH,med_lev_k_rate_last_5_LOW,2,97,-2.505421711432953,-0.6958762886597938,-1.1024814893957193,0.7857934268453529,-2.0142883162058953,3,4,UNDER,PLAUSIBLE,238,-2.0369537988944235,-0.1323529411764706,UNDER,True,PASS,18.69816607722273,319.0,-0.48880145207862996,0.23667711598746083,UNDER,True,WEAK,80.49025240548967,,,
opp_pl_zone_rate_last_3_HIGH × med_lev_k_rate_last_10_LOW,opp_pl_zone_rate_last_3_HIGH,med_lev_k_rate_last_10_LOW,2,113,-2.431333403864665,-0.5796460176991151,-1.1024814893957193,0.4730174374823525,-2.8284537515563724,4,4,UNDER,PLAUSIBLE,270,-0.7167015562180488,0.24444444444444444,UNDER,True,WEAK,70.52228398298507,399.0,-1.3365564730421937,0.05889724310776942,UNDER,True,THREE_STAGE_SURVIVOR,45.027840652470616,7.705396208070003,7.6260260210651465,249.0
opp_pl_zone_rate_last_3_HIGH × high_lev_k_rate_drift_last_5_LOW,opp_pl_zone_rate_last_3_HIGH,high_lev_k_rate_drift_last_5_LOW,2,101,-2.3306006093351144,-0.594059405940594,-1.1024814893957193,-0.8478161477007848,-2.188940845705504,3,4,UNDER,PLAUSIBLE,173,-0.9267429857901311,0.13005780346820808,UNDER,True,WEAK,60.23587301581813,194.0,0.3467846626533868,0.47164948453608246,OVER,False,DEAD,,,,
opp_pl_zone_rate_last_3_HIGH × exit_prob_by_5_last_5_HIGH,opp_pl_zone_rate_last_3_HIGH,exit_prob_by_5_last_5_HIGH,2,167,-2.395224412015434,-0.38323353293413176,-1.1024814893957193,-0.9548936757154578,-2.063188955842725,3,4,UNDER,PLAUSIBLE,278,-1.5780893238021658,0.02697841726618705,UNDER,True,PASS,34.11517869115651,398.0,-0.20812475429203023,0.3128140703517588,UNDER,True,WEAK,91.31084531169644,,,
opp_pl_zone_rate_last_3_LOW × leverage_gap_k_last_5_HIGH,opp_pl_zone_rate_last_3_LOW,leverage_gap_k_last_5_HIGH,2,46,-2.2459405446757117,-1.0434782608695652,-0.4397918077148474,-0.8532144389667801,-2.066273112296259,3,3,UNDER,PLAUSIBLE,77,0.4109024465425782,0.6298701298701299,OVER,False,DEAD,,,,,,,,,,,
opp_pl_zone_rate_last_3_LOW × leverage_gap_k_last_10_HIGH,opp_pl_zone_rate_last_3_LOW,leverage_gap_k_last_10_HIGH,2,49,-3.528437971316181,-1.8265306122448979,-0.4397918077148474,-2.0116095846147504,-3.272726774915651,3,4,UNDER,PLAUSIBLE,92,-1.7881244757140742,-0.3641304347826087,UNDER,True,PASS,49.322490851466874,65.0,-0.4381589602810858,0.11538461538461539,UNDER,True,WEAK,87.58206991753795,,,
opp_pl_zone_rate_last_5_HIGH × lineup_depth_dropoff_ev_LOW,opp_pl_zone_rate_last_5_HIGH,lineup_depth_dropoff_ev_LOW,2,128,-2.1544764843345874,-0.40625,-1.1053602859490004,-1.4241824885144485,-2.767160699431145,3,3,UNDER,PLAUSIBLE,209,-0.24244598542114415,0.3588516746411483,UNDER,True,WEAK,88.74687251478524,280.0,-0.20896769303036966,0.30357142857142855,UNDER,True,WEAK,90.30076705177362,,,
opp_pl_zone_rate_last_5_HIGH × high_lev_hr_rate_last_10_LOW,opp_pl_zone_rate_last_5_HIGH,high_lev_hr_rate_last_10_LOW,2,108,-2.2366546320322165,-0.5185185185185185,-1.1053602859490004,-1.8294922401111575,-1.770158817914022,3,4,UNDER,PLAUSIBLE,180,0.1669061210906806,0.48333333333333334,OVER,False,DEAD,,,,,,,,,,,
opp_pl_zone_rate_last_5_HIGH × high_lev_k_rate_drift_last_5_LOW,opp_pl_zone_rate_last_5_HIGH,high_lev_k_rate_drift_last_5_LOW,2,89,-2.2610072557063754,-0.6292134831460674,-1.1053602859490004,-0.8478161477007848,-1.8689882567164964,3,4,UNDER,PLAUSIBLE,169,-1.023905673410355,0.09467455621301775,UNDER,True,PASS,54.7146223955628,196.0,0.5083483150042485,0.5229591836734694,OVER,False,DEAD,,,,
opp_pl_zone_rate_last_5_HIGH × exit_prob_by_5_last_5_HIGH,opp_pl_zone_rate_last_5_HIGH,exit_prob_by_5_last_5_HIGH,2,155,-2.078735752523052,-0.3,-1.1053602859490004,-0.9548936757154578,-1.8199157599563611,3,4,UNDER,PLAUSIBLE,270,-0.2954145845154467,0.3537037037037037,UNDER,True,WEAK,85.78873797899087,419.0,-0.2849279942651504,0.2971360381861575,UNDER,True,WEAK,86.29320759411961,,,
opp_pl_zone_rate_last_5_LOW × med_lev_bb_rate_last_5_LOW,opp_pl_zone_rate_last_5_LOW,med_lev_bb_rate_last_5_LOW,2,100,-2.475688091746919,-0.665,-1.1572314055937147,-0.4555121776203563,-3.4928424392058965,4,4,UNDER,PLAUSIBLE,147,1.3982221002467115,0.9217687074829932,OVER,False,DEAD,,,,,,,,,,,
