features,feature_a,feature_b,depth,n_flagged,z_score,mean_residual,z_a,z_b,controlled_z,bucket_consistent,month_consistent,direction,plausibility,val_n,val_z,val_mean_residual,val_direction,val_consistent,val_attenuation,val_status,oos_n,oos_z,oos_mean_residual,oos_direction,oos_consistent,oos_attenuation,oos_status,synthetic_roi,real_roi,games_per_season
opp_sp_command_zone_rate_last_5_HIGH × opp_sp_damage_hr_rate_last_3_LOW,opp_sp_command_zone_rate_last_5_HIGH,opp_sp_damage_hr_rate_last_3_LOW,2,128,-2.0666443027980845,-0.37109375,-1.07963289273712,-1.5136448633881254,-2.719804009322216,3,4,UNDER,PLAUSIBLE,244,-0.4881974524994179,0.29713114754098363,UNDER,True,76.37728699426242,WEAK,342,-1.702196757435104,-0.054093567251461985,UNDER,True,17.634749476218296,THREE_STAGE_SURVIVOR,9.688995215311001,9.623410325097105,228
opp_sp_command_zone_rate_last_5_HIGH × batting_barrel_rate_last_10_LOW,opp_sp_command_zone_rate_last_5_HIGH,batting_barrel_rate_last_10_LOW,2,129,-2.40772955556445,-0.5038759689922481,-1.07963289273712,-1.0255634521630672,-3.406767022043559,4,4,UNDER,PLAUSIBLE,270,-0.8095274991355712,0.22037037037037038,UNDER,True,66.37797225752824,WEAK,236,-0.9757859099246493,0.07415254237288135,UNDER,True,59.47277767681456,THREE_STAGE_SURVIVOR,0.2975747656598712,0.31643815786712715,203
opp_sp_command_zone_rate_last_10_HIGH × leverage_gap_bb_last_5_HIGH,opp_sp_command_zone_rate_last_10_HIGH,leverage_gap_bb_last_5_HIGH,2,48,-2.14804493410325,-0.9479166666666666,-0.4947526003198256,-0.8622902467084128,-1.8362419602903604,3,4,UNDER,PLAUSIBLE,72,-0.5111429374356934,0.1736111111111111,UNDER,True,76.20427164625019,WEAK,134,-0.9165998044624223,0.0037313432835820895,UNDER,True,57.32864848820876,THREE_STAGE_SURVIVOR,8.647450110864742,8.425317421322287,82
opp_sp_command_zone_rate_last_10_LOW × bottom_order_hard_hit_rate_HIGH,opp_sp_command_zone_rate_last_10_LOW,bottom_order_hard_hit_rate_HIGH,2,91,2.210547325295192,1.5054945054945055,0.18310742929459586,1.2569856550716323,2.3202733724711413,4,4,OVER,PLAUSIBLE,183,0.4640494162765968,0.5765027322404371,OVER,True,79.00748783043454,WEAK,108,1.7155066346275265,1.1018518518518519,OVER,True,22.394485067247267,THREE_STAGE_SURVIVOR,1.2556504269211417,0.9666557358968708,120
opp_sp_contact_hh_allowed_last_3_HIGH × middle_order_hard_hit_rate_LOW,opp_sp_contact_hh_allowed_last_3_HIGH,middle_order_hard_hit_rate_LOW,2,124,2.7354663537638797,1.5685483870967742,1.0337608582828777,0.7567663508736308,3.4333988058278524,4,4,OVER,PLAUSIBLE,218,0.05865499275944323,0.44724770642201833,OVER,True,97.85575893928518,WEAK,306,1.0671812128612899,0.6339869281045751,OVER,True,60.98722942093965,THREE_STAGE_SURVIVOR,0.6723180356620879,0.8574867461827784,207
opp_sp_contact_hh_allowed_last_3_LOW × batting_barrel_rate_last_5_LOW,opp_sp_contact_hh_allowed_last_3_LOW,batting_barrel_rate_last_5_LOW,2,132,-2.291190090309786,-0.44696969696969696,-0.6852953861959395,-1.797445880649283,-2.624711484690177,3,4,UNDER,PLAUSIBLE,273,-0.7452894326962685,0.23809523809523808,UNDER,True,67.47151465745473,WEAK,134,-1.300903334938038,-0.1455223880597015,UNDER,True,43.221501330684184,THREE_STAGE_SURVIVOR,3.997170145030065,3.8675319262950314,171
opp_sp_contact_hh_allowed_last_3_LOW × opp_pl_two_strike_ff_pct_last_3_LOW,opp_sp_contact_hh_allowed_last_3_LOW,opp_pl_two_strike_ff_pct_last_3_LOW,2,121,-2.3826861714464456,-0.5247933884297521,-0.6852953861959395,-1.368690164942736,-2.2924773569782215,3,4,UNDER,PLAUSIBLE,190,-0.8045617681869974,0.18157894736842106,UNDER,True,66.23299459959613,WEAK,173,-1.3567963990202994,-0.10404624277456648,UNDER,True,43.056017394156626,THREE_STAGE_SURVIVOR,7.976539589442816,7.9703176240916385,155
opp_sp_contact_barrel_allowed_last_3_HIGH × middle_order_avg_exit_velo_LOW,opp_sp_contact_barrel_allowed_last_3_HIGH,middle_order_avg_exit_velo_LOW,2,136,2.120178939425389,1.2794117647058822,0.34282185326727604,0.19896365563656288,2.2458644067386277,4,3,OVER,PLAUSIBLE,216,1.5016733244809775,0.8657407407407407,OVER,True,29.17233085581159,PASS,289,1.07345877632026,0.643598615916955,OVER,True,49.369425553713455,THREE_STAGE_SURVIVOR,2.8445747800586494,2.810385729675202,206
opp_sp_contact_barrel_allowed_last_3_LOW × batting_barrel_rate_last_3_LOW,opp_sp_contact_barrel_allowed_last_3_LOW,batting_barrel_rate_last_3_LOW,2,139,-2.7982653962120225,-0.6187050359712231,-0.8138815479787308,-1.366533605212984,-3.3108944225258528,4,4,UNDER,PLAUSIBLE,238,-0.2420903082472652,0.3634453781512605,UNDER,True,91.34855798256378,WEAK,154,-2.1669504549255754,-0.4253246753246753,UNDER,True,22.560938720860804,THREE_STAGE_SURVIVOR,7.505920932774638,7.419098150216441,166
opp_sp_contact_barrel_allowed_last_3_LOW × opp_pl_pfx_z_mean_last_3_LOW,opp_sp_contact_barrel_allowed_last_3_LOW,opp_pl_pfx_z_mean_last_3_LOW,2,149,-2.19730236957942,-0.35906040268456374,-0.8138815479787308,-1.1421295900091049,-2.9856136085398504,4,3,UNDER,PLAUSIBLE,265,-0.8149436619261407,0.2169811320754717,UNDER,True,62.91162867666107,WEAK,247,-1.193800894456711,0.018218623481781375,UNDER,True,45.66970340612643,THREE_STAGE_SURVIVOR,3.969270166453267,4.1683369700797,213
opp_sp_contact_barrel_allowed_last_3_LOW × opp_pl_pfx_z_mean_last_5_LOW,opp_sp_contact_barrel_allowed_last_3_LOW,opp_pl_pfx_z_mean_last_5_LOW,2,146,-2.1216533663435952,-0.339041095890411,-0.8138815479787308,-1.1457044901171118,-2.7537061641060694,4,3,UNDER,PLAUSIBLE,239,-0.4682084151537201,0.301255230125523,UNDER,True,77.93190807786765,WEAK,222,-0.990617258950877,0.060810810810810814,UNDER,True,53.30918449425685,THREE_STAGE_SURVIVOR,3.0974136595942396,3.204784336374078,195
opp_sp_contact_barrel_allowed_last_5_HIGH × temperature_HIGH,opp_sp_contact_barrel_allowed_last_5_HIGH,temperature_HIGH,2,124,2.5768217570017162,1.5040322580645162,1.5682726284151713,0.6767066717023689,3.2440338119372276,3,3,OVER,PLAUSIBLE,184,0.3428969120095693,0.5380434782608695,OVER,True,86.6930294624433,WEAK,219,0.9277201069706504,0.6415525114155252,OVER,True,63.99750566953814,THREE_STAGE_SURVIVOR,-0.6226650062266511,-0.6781411408605442,170
opp_sp_contact_barrel_allowed_last_5_LOW × opp_pl_pfx_z_mean_last_3_LOW,opp_sp_contact_barrel_allowed_last_5_LOW,opp_pl_pfx_z_mean_last_3_LOW,2,144,-2.0091374816549354,-0.3020833333333333,-0.1866111596166104,-1.1421295900091049,-2.5793957258509788,3,3,UNDER,PLAUSIBLE,258,-1.1033222834771719,0.1375968992248062,UNDER,True,45.08477923728941,PASS,222,-0.9682242966188015,0.06756756756756757,UNDER,True,51.80895755220938,THREE_STAGE_SURVIVOR,0.045228403437355236,0.18917825742137406,201
