game_id,game_date,season_year,home_team,away_team,home_score,away_score,total_goals,home_goals_reg,away_goals_reg,went_to_ot,went_to_so,ot_goals,reg_total_goals,home_goalie_id,home_goalie_name,home_goalie_starter,home_goalie_sa,home_goalie_ga,home_goalie_toi,away_goalie_id,away_goalie_name,away_goalie_starter,away_goalie_sa,away_goalie_ga,away_goalie_toi,home_pp_opportunities,home_pp_goals,home_pk_goals_against,away_pp_opportunities,away_pp_goals,away_pk_goals_against,home_pp_pct,away_pp_pct,home_pk_pct,away_pk_pct,home_rest_days,home_is_b2b,home_games_last_7,away_rest_days,away_is_b2b,away_games_last_7,home_xgoals,home_xgoals_against,home_corsi_pct,home_fenwick_pct,home_shots_on_goal,home_hd_shots,home_hd_shots_against,away_xgoals,away_xgoals_against,away_corsi_pct,away_fenwick_pct,away_shots_on_goal,away_hd_shots,away_hd_shots_against,total_line,over_price,under_price,moneypuck_available,market_available,pregame_confirmed
2021020023,2021-10-16,2021,MTL,NYR,1,3,4,1,3,False,False,0,4,8474596,J. Allen,True,23,2,58:38,8478048,I. Shesterkin,True,32,1,59:23,3,0,0,4,1,0,0.0,0.25,1.0,1.0,2,False,2,2,False,2,2.668,2.281,0.5429,0.527,32.0,2.0,2.0,2.281,2.668,0.4571,0.473,24.0,2.0,2.0,5.5,-115,-105,True,True,
2021020024,2021-10-16,2021,DET,VAN,3,1,4,3,1,False,False,0,4,8471306,T. Greiss,True,41,1,59:58,8470860,J. Halak,True,20,2,57:48,2,1,0,3,0,0,0.5,0.0,1.0,1.0,2,False,1,1,True,2,2.81,3.343,0.3545,0.3333,21.0,5.0,3.0,3.343,2.81,0.6455,0.6667,41.0,3.0,5.0,5.5,-115,-105,True,True,
2021020026,2021-10-16,2021,PIT,CHI,5,2,7,5,2,False,False,0,7,8477465,T. Jarry,True,20,2,59:45,8470594,M. Fleury,True,10,4,11:25,2,0,0,3,1,0,0.0,0.3333,1.0,1.0,2,False,2,1,True,2,1.916,4.591,0.5366,0.5833,26.0,0.0,6.0,4.591,1.916,0.4634,0.4167,20.0,6.0,0.0,6.0,-105,-115,True,True,
2021020027,2021-10-16,2021,WSH,TBL,1,2,3,1,1,True,False,1,2,8477970,V. Vanecek,True,24,2,64:45,8476883,A. Vasilevskiy,True,33,1,64:45,4,0,0,1,0,0,0.0,0.0,1.0,1.0,3,False,1,2,False,2,1.896,2.222,0.5044,0.5122,33.0,1.0,1.0,2.222,1.896,0.4956,0.4878,24.0,1.0,1.0,6.5,-110,-110,True,True,
2021020028,2021-10-16,2021,CBJ,SEA,2,1,3,1,1,True,False,1,2,8478007,E. Merzlikins,True,20,1,62:16,8475831,P. Grubauer,True,25,2,62:16,0,0,0,1,0,0,,0.0,1.0,,2,False,1,2,False,2,2.475,1.52,0.5514,0.5286,25.0,2.0,1.0,1.52,2.475,0.4486,0.4714,20.0,1.0,2.0,5.5,-120,100,True,True,
2021020029,2021-10-16,2021,NSH,CAR,2,3,5,2,3,False,False,0,5,8477424,J. Saros,True,31,2,59:07,8475883,F. Andersen,True,40,2,60:00,4,0,0,4,0,0,0.0,0.0,1.0,1.0,2,False,1,2,False,1,3.085,3.558,0.5268,0.5165,40.0,4.0,3.0,3.558,3.085,0.4732,0.4835,32.0,3.0,4.0,6.0,100,-120,True,True,
2021020030,2021-10-16,2021,COL,STL,3,5,8,3,5,False,False,0,8,8475311,D. Kuemper,True,27,4,56:26,8476412,J. Binnington,True,32,3,60:00,3,0,0,2,1,0,0.0,0.5,1.0,1.0,3,False,1,,False,0,3.063,2.793,0.5926,0.5765,32.0,2.0,2.0,2.793,3.063,0.4074,0.4235,28.0,2.0,2.0,5.5,-120,100,True,True,
2021020031,2021-10-16,2021,EDM,CGY,5,2,7,5,2,False,False,0,7,8469608,M. Smith,True,47,2,60:00,8474593,J. Markstrom,True,32,4,58:55,4,2,0,4,1,0,0.5,0.25,1.0,1.0,3,False,1,,False,0,3.445,3.192,0.395,0.41,33.0,3.0,2.0,3.192,3.445,0.605,0.59,47.0,2.0,3.0,6.5,-115,-105,True,True,
2021020033,2021-10-16,2021,SJS,WPG,4,3,7,4,3,False,False,0,7,8478499,A. Hill,True,23,3,60:00,8476945,C. Hellebuyck,True,31,4,58:12,5,2,1,3,0,1,0.4,0.0,0.6667,0.8,,False,0,3,False,1,3.804,2.087,0.5405,0.6053,31.0,5.0,4.0,2.087,3.804,0.4595,0.3947,23.0,4.0,5.0,6.0,-115,-105,True,True,
2021020032,2021-10-16,2021,LAK,MIN,2,3,5,2,3,False,False,0,5,8471734,J. Quick,True,30,3,58:09,8475660,C. Talbot,True,31,2,60:00,4,1,0,1,0,0,0.25,0.0,1.0,1.0,2,False,1,1,True,1,3.431,2.417,0.5755,0.5412,31.0,4.0,3.0,2.417,3.431,0.4245,0.4588,30.0,3.0,4.0,5.5,-110,-110,True,True,
