date,game_id,home_team,away_team,closing_total,model_projection,model_edge,bet_direction,both_fast_pace,overlay_applied,overlay_segment,original_tier,final_tier,result,roi_outcome
2026-01-03,0022500487,NYK,PHI,233.5,233.93,0.43,OVER,False,False,,LOW,LOW,WIN,0.9090909090909091
2026-01-04,0022500494,CLE,DET,238.5,237.8,-0.7,UNDER,True,False,,LOW,LOW,WIN,0.9090909090909091
2026-01-05,0022500509,POR,UTA,241.5,241.66,0.16,OVER,True,True,both_fast_pace,LOW,MEDIUM,WIN,0.9090909090909091
2026-01-06,0022500510,IND,CLE,235.5,235.46,-0.04,UNDER,False,False,,LOW,LOW,LOSS,-1.0
2026-01-06,0022500511,WAS,ORL,233.5,234.03,0.53,OVER,True,True,both_fast_pace,LOW,MEDIUM,LOSS,-1.0
2026-01-07,0022500516,CHA,TOR,230.5,230.73,0.23,OVER,False,False,,LOW,LOW,LOSS,-1.0
2026-01-07,0022500519,ATL,NOP,247.5,248.48,0.98,OVER,True,True,both_fast_pace,LOW,MEDIUM,LOSS,-1.0
2026-01-08,0022500530,MIN,CLE,237.5,236.97,-0.53,UNDER,True,False,,LOW,LOW,LOSS,-1.0
2026-01-09,0022500538,PHX,NYK,229.5,229.6,0.1,OVER,False,False,,LOW,LOW,LOSS,-1.0
2026-01-10,0022500546,CHI,DAL,233.5,233.98,0.48,OVER,True,True,both_fast_pace,LOW,MEDIUM,LOSS,-1.0
2026-01-11,0022500555,PHX,WAS,230.5,231.23,0.73,OVER,False,False,,LOW,LOW,LOSS,-1.0
2026-01-12,0022500563,LAC,CHA,223.5,224.06,0.56,OVER,False,False,,LOW,LOW,WIN,0.9090909090909091
2026-01-13,0022500564,MIA,PHX,230.5,230.99,0.49,OVER,False,False,,LOW,LOW,WIN,0.9090909090909091
2026-01-13,0022500567,NOP,DEN,233.5,233.08,-0.42,UNDER,False,False,,LOW,LOW,LOSS,-1.0
2026-01-13,0022500568,OKC,SAS,229.5,229.38,-0.12,UNDER,True,False,,LOW,LOW,WIN,0.9090909090909091
2026-01-14,0022500577,LAC,WAS,225.5,226.2,0.7,OVER,False,False,,LOW,LOW,LOSS,-1.0
2026-01-15,0022500581,HOU,OKC,220.5,221.28,0.78,OVER,False,False,,LOW,LOW,LOSS,-1.0
2026-01-15,0022500583,DAL,UTA,238.5,239.29,0.79,OVER,True,True,both_fast_pace,LOW,MEDIUM,WIN,0.9090909090909091
2026-01-17,0022500597,MIA,OKC,235.5,236.4,0.9,OVER,True,True,both_fast_pace,LOW,MEDIUM,WIN,0.9090909090909091
2026-01-17,0022500599,GSW,CHA,234.5,233.8,-0.7,UNDER,False,False,,LOW,LOW,LOSS,-1.0
2026-01-18,0022500606,SAC,POR,228.5,227.91,-0.59,UNDER,False,False,,LOW,LOW,WIN,0.9090909090909091
2026-01-19,0022500608,WAS,LAC,226.5,225.73,-0.77,UNDER,False,False,,LOW,LOW,WIN,0.9090909090909091
2026-01-20,0022500617,DEN,LAL,228.5,227.56,-0.94,UNDER,False,False,,LOW,LOW,WIN,0.9090909090909091
2026-01-21,0022500623,MEM,ATL,239.5,238.71,-0.79,UNDER,True,False,,LOW,LOW,LOSS,-1.0
2026-01-22,0022500628,PHI,HOU,221.5,222.32,0.82,OVER,False,False,,LOW,LOW,WIN,0.9090909090909091
2026-01-22,0022500632,UTA,SAS,236.5,236.44,-0.06,UNDER,True,False,,LOW,LOW,WIN,0.9090909090909091
2026-01-22,0022500634,POR,MIA,237.5,237.66,0.16,OVER,True,True,both_fast_pace,LOW,MEDIUM,LOSS,-1.0
2026-01-24,0022500648,DAL,LAL,233.5,233.66,0.16,OVER,False,False,,LOW,LOW,LOSS,-1.0
2026-01-25,0022500650,DET,SAC,226.5,225.71,-0.79,UNDER,False,False,,LOW,LOW,LOSS,-1.0
2026-01-27,0022500670,UTA,LAC,234.5,233.53,-0.97,UNDER,False,False,,LOW,LOW,WIN,0.9090909090909091
2026-01-28,0022500679,HOU,SAS,220.5,220.92,0.42,OVER,False,False,,LOW,LOW,LOSS,-1.0
2026-01-30,0022500688,WAS,LAL,228.5,228.63,0.13,OVER,False,False,,LOW,LOW,WIN,0.9090909090909091
2026-01-30,0022500691,NOP,MEM,232.5,232.76,0.26,OVER,True,True,both_fast_pace,LOW,MEDIUM,LOSS,-1.0
2026-01-30,0022500694,UTA,BKN,227.5,228.36,0.86,OVER,False,False,,LOW,LOW,LOSS,-1.0
2026-01-31,0022500698,IND,ATL,232.5,231.72,-0.78,UNDER,True,False,,LOW,LOW,LOSS,-1.0
2026-02-03,0022500720,MIA,ATL,240.5,241.06,0.56,OVER,True,True,both_fast_pace,LOW,MEDIUM,WIN,0.9090909090909091
2026-02-03,0022500721,DAL,BOS,223.5,223.67,0.17,OVER,False,False,,LOW,LOW,LOSS,-1.0
2026-02-04,0022500730,SAS,OKC,221.5,222.0,0.5,OVER,False,False,,LOW,LOW,WIN,0.9090909090909091
2026-02-06,0022500742,DET,NYK,222.5,221.7,-0.8,UNDER,False,False,,LOW,LOW,WIN,0.9090909090909091
2026-02-06,0022500745,POR,MEM,232.5,232.79,0.29,OVER,True,True,both_fast_pace,LOW,MEDIUM,WIN,0.9090909090909091
2026-02-07,0022500750,ORL,UTA,236.5,235.76,-0.74,UNDER,True,False,,LOW,LOW,LOSS,-1.0
2026-02-08,0022500759,TOR,IND,225.5,226.05,0.55,OVER,False,False,,LOW,LOW,WIN,0.9090909090909091
2026-02-10,0022500773,PHX,DAL,229.5,228.6,-0.9,UNDER,False,False,,LOW,LOW,LOSS,-1.0
2026-02-11,0022500781,TOR,DET,223.5,223.68,0.18,OVER,False,False,,LOW,LOW,LOSS,-1.0
2026-02-11,0022500784,NOP,MIA,232.5,232.92,0.42,OVER,False,False,,LOW,LOW,WIN,0.9090909090909091
2026-02-22,0022500825,CHI,NYK,230.5,231.14,0.64,OVER,False,False,,LOW,LOW,LOSS,-1.0
2026-02-25,0022500845,HOU,SAC,221.5,221.0,-0.5,UNDER,False,False,,LOW,LOW,LOSS,-1.0
2026-02-26,0022500850,ATL,WAS,236.5,237.46,0.96,OVER,True,True,both_fast_pace,LOW,MEDIUM,LOSS,-1.0
2026-02-27,0022500858,DET,CLE,226.5,226.33,-0.17,UNDER,False,False,,LOW,LOW,LOSS,-1.0
2026-02-28,0022500865,WAS,TOR,229.5,230.25,0.75,OVER,False,False,,LOW,LOW,WIN,0.9090909090909091
2026-02-28,0022500866,GSW,LAL,229.5,230.25,0.75,OVER,False,False,,LOW,LOW,WIN,0.9090909090909091
2026-03-03,0022500884,CLE,DET,227.5,227.18,-0.32,UNDER,False,False,,LOW,LOW,WIN,0.9090909090909091
2026-03-04,0022500893,NYK,OKC,223.5,223.92,0.42,OVER,False,False,,LOW,LOW,LOSS,-1.0
2026-03-04,0022500894,BOS,CHA,213.5,212.88,-0.62,UNDER,False,False,,LOW,LOW,WIN,0.9090909090909091
2026-03-04,0022500895,PHI,UTA,237.5,237.55,0.05,OVER,True,True,both_fast_pace,LOW,MEDIUM,LOSS,-1.0
2026-03-05,0022500904,SAS,DET,228.5,228.87,0.37,OVER,True,True,both_fast_pace,LOW,MEDIUM,LOSS,-1.0
2026-03-06,0022500909,CHA,MIA,229.5,229.97,0.47,OVER,False,False,,LOW,LOW,WIN,0.9090909090909091
2026-03-06,0022500912,PHX,NOP,225.5,224.87,-0.63,UNDER,False,False,,LOW,LOW,LOSS,-1.0
2026-03-08,0022500928,PHX,CHA,218.5,218.11,-0.39,UNDER,False,False,,LOW,LOW,WIN,0.9090909090909091
2026-03-09,0022500931,CLE,PHI,227.5,227.23,-0.27,UNDER,False,False,,LOW,LOW,WIN,0.9090909090909091
2026-03-09,0022500935,LAC,NYK,220.5,221.45,0.95,OVER,False,False,,LOW,LOW,WIN,0.9090909090909091
2026-03-10,0022500938,MIA,WAS,238.5,238.29,-0.21,UNDER,True,False,,LOW,LOW,LOSS,-1.0
2026-03-10,0022500942,SAS,BOS,222.5,222.48,-0.02,UNDER,False,False,,LOW,LOW,LOSS,-1.0
2026-03-10,0022500945,SAC,IND,237.5,237.37,-0.13,UNDER,True,False,,LOW,LOW,WIN,0.9090909090909091
2026-03-11,0022500952,LAC,MIN,227.5,227.21,-0.29,UNDER,False,False,,LOW,LOW,LOSS,-1.0
2026-03-12,0022500958,SAS,DEN,238.5,238.96,0.46,OVER,True,True,both_fast_pace,LOW,MEDIUM,WIN,0.9090909090909091
2026-03-12,0022500959,OKC,BOS,216.5,215.93,-0.57,UNDER,False,False,,LOW,LOW,WIN,0.9090909090909091
2026-03-13,0022500961,DET,MEM,233.5,234.43,0.93,OVER,False,False,,LOW,LOW,WIN,0.9090909090909091
