game_pk,date,season,home_team,away_team,home_score,away_score,actual_total,actual_f5_total,park_factor_runs,temperature,wind_speed,wind_direction,home_rest_days,away_rest_days,umpire_over_rate,innings_played,completed_early,total_line,total_over_price,total_under_price,f5_line,late_implied,f5_ratio,actual_late_runs,actual_f5_share,path_state,fg_over,fg_under,fg_push,path_error,fg_error,home_sp_avg_ip,home_sp_fip,home_sp_ip_std,home_sp_k_rate,away_sp_avg_ip,away_sp_fip,away_sp_ip_std,away_sp_k_rate,home_bp_era,away_bp_era,sp_length_diff,bp_quality_diff,sp_fragility_max,sp_fragility_avg,sp_avg_ip_min,bp_era_avg,sp_fip_avg,sp_fip_max,split
718312,2023-05-04,2023,KCR,BAL,10,13,23,15.0,100,75.1,7.9,172.0,1,1,1.0,9,False,9.0,-120.0,100.0,5.0,4.0,0.5555555555555556,8.0,0.6521739130434783,BALANCED,1,0,0,4.0,14.0,,,,,,,,,,,,,,,,,,,discovery
718310,2023-05-04,2023,CHW,MIN,3,7,10,2.0,100,63.0,6.5,136.0,1,1,0.978,12,False,8.0,-115.0,-105.0,4.0,4.0,0.5,8.0,0.2,LATE_HEAVY,1,0,0,4.0,2.0,,,,,,,,,,,,,,,,,,,discovery
718313,2023-05-04,2023,COL,MIL,9,6,15,3.0,117,69.3,10.9,194.0,1,1,1.0,9,False,12.5,100.0,-120.0,6.5,6.0,0.52,12.0,0.2,ELEVATED_LATE,1,0,0,6.0,2.5,,,,,,,,,,,,,,,,,,,discovery
718304,2023-05-04,2023,OAK,SEA,3,5,8,8.0,95,57.5,5.7,211.0,1,1,1.0,9,False,8.5,100.0,-120.0,4.5,4.0,0.5294117647058824,0.0,1.0,BALANCED,0,1,0,-4.0,-0.5,,,,,,,,,,,,,,,,,,,discovery
718308,2023-05-04,2023,MIA,ATL,3,6,9,7.0,98,72.0,0.0,0.0,1,1,1.014,9,False,8.5,-110.0,-110.0,4.5,4.0,0.5294117647058824,2.0,0.7777777777777778,BALANCED,1,0,0,-2.0,0.5,,,,,,,,,,,,,,,,,,,discovery
718316,2023-05-04,2023,BOS,TOR,11,5,16,12.0,104,46.3,7.3,38.0,1,1,1.0,9,False,8.5,-110.0,-110.0,4.5,4.0,0.5294117647058824,4.0,0.75,BALANCED,1,0,0,0.0,7.5,,,,,,,,,,,,,,,,,,,discovery
718303,2023-05-05,2023,CHC,MIA,4,1,5,3.0,103,68.3,12.7,144.0,1,1,1.0,9,False,9.5,-105.0,-115.0,5.0,4.5,0.5263157894736842,2.0,0.6,ELEVATED_LATE,0,1,0,-2.5,-4.5,,,,,,,,,,,,,,,,,,,discovery
718307,2023-05-05,2023,PIT,TOR,0,4,4,4.0,101,63.7,4.9,3.0,1,1,1.053,9,False,9.0,-110.0,-110.0,5.0,4.0,0.5555555555555556,0.0,1.0,BALANCED,0,1,0,-4.0,-5.0,,,,,,,,,,,,,,,,,,,discovery
718307,2023-05-05,2023,PIT,TOR,0,4,4,4.0,101,63.7,4.9,3.0,1,1,1.053,9,False,9.0,-110.0,-110.0,5.0,4.0,0.5555555555555556,0.0,1.0,BALANCED,0,1,0,-4.0,-5.0,,,,,,,,,,,,,,,,,,,discovery
718305,2023-05-05,2023,CIN,CHW,4,5,9,7.0,107,70.7,7.3,121.0,2,1,0.985,9,False,8.5,-120.0,100.0,4.5,4.0,0.5294117647058824,2.0,0.7777777777777778,BALANCED,1,0,0,-2.0,0.5,,,,,,,,,,,,,,,,,,,discovery
