game_pk,game_date,fastball_dom,open_line_6am,benchmark_line_noon,line_move_6am_to_noon,actual_total,year,signal_type,signal_market,down_move_05
745485,2024-06-23,0,8.0,7.5,-0.5,4,2024,APPROX_UNDER,totals_under,1
746457,2024-06-23,0,8.5,8.0,-0.5,13,2024,APPROX_UNDER,totals_under,1
747021,2024-06-24,1,8.5,8.0,-0.5,5,2024,APPROX_UNDER,totals_under,1
747188,2024-06-25,0,8.0,7.5,-0.5,9,2024,APPROX_UNDER,totals_under,1
746374,2024-06-26,0,8.0,8.0,0.0,8,2024,APPROX_UNDER,totals_under,0
746289,2024-06-29,1,8.0,7.5,-0.5,9,2024,APPROX_UNDER,totals_under,1
746211,2024-06-29,0,8.0,8.0,0.0,11,2024,APPROX_UNDER,totals_under,0
745971,2024-06-30,0,8.0,8.0,0.0,8,2024,APPROX_UNDER,totals_under,0
744914,2024-07-01,1,9.0,8.5,-0.5,4,2024,APPROX_UNDER,totals_under,1
746285,2024-07-04,0,8.5,8.5,0.0,18,2024,APPROX_UNDER,totals_under,0
746126,2024-07-04,0,8.5,8.5,0.0,12,2024,APPROX_UNDER,totals_under,0
744836,2024-07-05,0,8.5,9.0,0.5,13,2024,APPROX_UNDER,totals_under,0
746693,2024-07-05,0,9.0,9.0,0.0,9,2024,APPROX_UNDER,totals_under,0
746691,2024-07-07,0,8.0,8.0,0.0,6,2024,APPROX_UNDER,totals_under,0
745393,2024-07-09,0,8.0,8.0,0.0,11,2024,APPROX_UNDER,totals_under,0
746772,2024-07-10,0,8.0,8.0,0.0,4,2024,APPROX_UNDER,totals_under,0
745065,2024-07-11,0,8.0,8.0,0.0,9,2024,APPROX_UNDER,totals_under,0
746371,2024-07-12,0,8.0,8.0,0.0,9,2024,APPROX_UNDER,totals_under,0
745390,2024-07-12,0,8.5,8.5,0.0,7,2024,APPROX_UNDER,totals_under,0
746766,2024-07-13,0,8.5,8.5,0.0,8,2024,APPROX_UNDER,totals_under,0
746202,2024-07-13,0,8.0,7.5,-0.5,3,2024,APPROX_UNDER,totals_under,1
747176,2024-07-14,0,8.0,7.5,-0.5,15,2024,APPROX_UNDER,totals_under,1
745481,2024-07-19,0,8.0,8.0,0.0,15,2024,APPROX_UNDER,totals_under,0
744990,2024-07-19,0,8.0,7.5,-0.5,10,2024,APPROX_UNDER,totals_under,1
745478,2024-07-20,0,8.5,8.5,0.0,5,2024,APPROX_UNDER,totals_under,0
746121,2024-07-20,1,9.5,9.0,-0.5,13,2024,APPROX_UNDER,totals_under,1
746610,2024-07-21,0,8.0,7.5,-0.5,3,2024,APPROX_UNDER,totals_under,1
746125,2024-07-21,0,9.0,9.0,0.0,15,2024,APPROX_UNDER,totals_under,0
746850,2024-07-22,0,8.0,8.0,0.0,4,2024,APPROX_UNDER,totals_under,0
745715,2024-07-23,0,8.5,9.0,0.5,5,2024,APPROX_UNDER,totals_under,0
746281,2024-07-23,0,10.0,9.5,-0.5,8,2024,APPROX_UNDER,totals_under,1
745472,2024-07-24,0,8.5,9.0,0.5,5,2024,APPROX_UNDER,totals_under,0
745877,2024-07-24,0,8.0,8.0,0.0,9,2024,APPROX_UNDER,totals_under,0
747006,2024-07-27,0,9.0,8.5,-0.5,13,2024,APPROX_UNDER,totals_under,1
746278,2024-07-27,0,8.0,8.0,0.0,13,2024,APPROX_UNDER,totals_under,0
746931,2024-07-27,0,10.0,10.0,0.0,19,2024,APPROX_UNDER,totals_under,0
746445,2024-07-28,0,8.0,7.5,-0.5,5,2024,APPROX_UNDER,totals_under,1
746928,2024-07-29,0,8.5,8.5,0.0,21,2024,APPROX_UNDER,totals_under,0
745309,2024-07-30,0,8.0,8.0,0.0,7,2024,APPROX_UNDER,totals_under,0
745789,2024-07-31,1,8.5,8.5,0.0,11,2024,APPROX_UNDER,totals_under,0
747092,2024-08-01,0,9.0,8.5,-0.5,6,2024,APPROX_UNDER,totals_under,1
745471,2024-08-02,1,8.5,8.5,0.0,17,2024,APPROX_UNDER,totals_under,0
744979,2024-08-04,0,8.0,8.0,0.0,9,2024,APPROX_UNDER,totals_under,0
745469,2024-08-07,0,8.0,8.0,0.0,17,2024,APPROX_UNDER,totals_under,0
745710,2024-08-08,0,8.5,8.5,0.0,13,2024,APPROX_UNDER,totals_under,0
